ID,Title,Total Time (minutes),Budget,Revenue,Genres
298618,The Flash,2h 24min,190000000,267481043,"Action, Adventure, Science Fiction"
346698,Barbie,1h 54min,145000000,516900000,"Comedy, Adventure, Fantasy"
447277,The Little Mermaid,2h 15min,250000000,556713998,"Adventure, Family, Fantasy, Romance"
447365,Guardians of the Galaxy Vol. 3,2h 30min,250000000,840155006,"Science Fiction, Adventure, Action"
459003,Mavka: The Forest Song,1h 39min,5000000,11700000,"Animation, Adventure, Family, Fantasy"
385687,Fast X,2h 22min,340000000,699220096,"Action, Crime, Thriller"
455476,Knights of the Zodiac,1h 53min,60000000,6794519,"Fantasy, Action, Adventure"
872585,Oppenheimer,3h 1min,100000000,241724624,"Drama, History"
678512,Sound of Freedom,2h 11min,14000000,133994647,"Action, Drama"
502356,The Super Mario Bros. Movie,1h 33min,100000000,1347013866,"Animation, Family, Adventure, Fantasy, Comedy"
569094,Spider-Man: Across the Spider-Verse,2h 20min,100000000,665569774,"Action, Adventure, Animation, Science Fiction"
603692,John Wick: Chapter 4,2h 50min,90000000,431769198,"Action, Thriller, Crime"
976573,Elemental,1h 42min,200000000,356689287,"Animation, Comedy, Family, Fantasy, Romance"
254128,San Andreas,1h 54min,110000000,473990832,"Action, Drama, Thriller"
445651,The Darkest Minds,1h 45min,34000000,41142379,"Action, Adventure, Drama"
406563,Insidious: The Last Key,1h 43min,10000000,167885588,"Horror, Mystery, Thriller"
76600,Avatar: The Way of Water,3h 12min,460000000,2320250281,"Science Fiction, Adventure, Action"
614479,Insidious: The Red Door,1h 47min,16000000,155000000,"Horror, Mystery, Thriller"
423108,The Conjuring: The Devil Made Me Do It,1h 51min,39000000,206431050,"Horror, Mystery, Thriller"
575264,Mission: Impossible - Dead Reckoning Part One,2h 44min,291000000,373082750,"Action, Adventure, Thriller"
47964,A Good Day to Die Hard,1h 38min,92000000,304654182,"Action, Thriller"
667717,Deep Sea,1h 45min,28700000,136090000,"Animation, Adventure, Fantasy, Science Fiction"
882569,Guy Ritchie's The Covenant,2h 3min,55000000,20000000,"War, Action, Thriller"
315162,Puss in Boots: The Last Wish,1h 43min,90000000,480000000,"Animation, Family, Fantasy, Adventure, Comedy"
758323,The Pope's Exorcist,1h 43min,18000000,70204828,"Horror, Thriller"
640146,Ant-Man and the Wasp: Quantumania,2h 5min,200000000,475766228,"Action, Adventure, Science Fiction"
713704,Evil Dead Rise,1h 36min,15000000,141512122,"Thriller, Horror"
496450,"Miraculous: Ladybug & Cat Noir, The Movie",1h 47min,86000000,10415960,"Animation, Family, Action, Fantasy, Romance"
840326,Sisu,1h 31min,6200000,10568631,"Action, War"
594767,Shazam! Fury of the Gods,2h 10min,125000000,133437105,"Comedy, Action, Fantasy"
994143,Skinamarink,1h 40min,15000,1800000,Horror
934433,Scream VI,2h 3min,35000000,168961389,"Horror, Thriller, Mystery"
677179,Creed III,1h 56min,75000000,269000000,"Drama, Action"
568124,Encanto,1h 42min,50000000,253000000,"Animation, Comedy, Family, Fantasy"
335977,Indiana Jones and the Dial of Destiny,2h 35min,294700000,335018862,"Adventure, Action, Fantasy"
345940,The Meg,1h 53min,150000000,530517320,"Action, Science Fiction, Horror"
634649,Spider-Man: No Way Home,2h 28min,200000000,1921847111,"Action, Adventure, Science Fiction"
73723,The Lorax,1h 26min,70000000,348840316,"Animation, Family"
505642,Black Panther: Wakanda Forever,2h 42min,250000000,859102154,"Action, Adventure, Science Fiction"
436270,Black Adam,2h 4min,200000000,393252111,"Action, Adventure, Science Fiction"
537915,After,1h 46min,14000000,69497587,"Romance, Drama"
675445,PAW Patrol: The Movie,1h 26min,26000000,144327371,"Animation, Family, Adventure, Comedy"
534313,Racetime,1h 30min,3000000,12000000,"Animation, Family, Comedy, Adventure"
324857,Spider-Man: Into the Spider-Verse,1h 57min,90000000,375464627,"Action, Adventure, Animation, Science Fiction"
8920,Garfield,1h 20min,50000000,200804534,"Animation, Comedy, Family"
646389,Plane,1h 47min,25000000,51000000,"Action, Adventure, Thriller"
299536,Avengers: Infinity War,2h 29min,300000000,2052415039,"Adventure, Action, Science Fiction"
346364,It,2h 15min,40000000,701800000,"Horror, Fantasy"
804150,Cocaine Bear,1h 36min,32500000,89020092,"Thriller, Comedy, Crime"
536554,M3GAN,1h 42min,12000000,176830912,"Science Fiction, Horror"
744275,After We Fell,1h 39min,14000000,21500000,"Romance, Drama"
884605,No Hard Feelings,1h 43min,45000000,82995526,"Comedy, Romance"
1018494,Operation Seawolf,1h 26min,15000,23000,"War, Thriller, Action, Adventure, Mystery, Science Fiction, Drama"
842675,The Wandering Earth II,2h 53min,73801827,604380922,"Science Fiction, Action, Drama"
414906,The Batman,2h 57min,185000000,770945583,"Crime, Mystery, Thriller"
985939,Fall,1h 47min,3000000,16120263,Thriller
361743,Top Gun: Maverick,2h 11min,170000000,1488732821,"Action, Drama"
675353,Sonic the Hedgehog 2,2h 3min,110000000,402656846,"Action, Adventure, Family, Comedy"
616037,Thor: Love and Thunder,1h 59min,250000000,760928081,"Fantasy, Action, Comedy"
767,Harry Potter and the Half-Blood Prince,2h 33min,250000000,933959197,"Adventure, Fantasy"
672,Harry Potter and the Chamber of Secrets,2h 41min,100000000,876688482,"Adventure, Fantasy"
671,Harry Potter and the Philosopher's Stone,2h 32min,125000000,976475550,"Adventure, Fantasy"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2h 23min,180000000,745013115,"Adventure, Family, Fantasy"
507086,Jurassic World Dominion,2h 27min,165000000,1001978080,"Adventure, Action, Science Fiction"
674,Harry Potter and the Goblet of Fire,2h 37min,150000000,895921036,"Adventure, Fantasy, Family"
700391,65,1h 32min,45000000,55000000,"Science Fiction, Thriller, Drama, Action, Adventure"
508947,Turning Red,1h 40min,190000000,18879922,"Animation, Family, Comedy, Fantasy"
493529,Dungeons & Dragons: Honor Among Thieves,2h 14min,151000000,208177026,"Adventure, Fantasy, Comedy"
19995,Avatar,2h 42min,237000000,2923706026,"Action, Adventure, Fantasy, Science Fiction"
785084,The Whale,1h 56min,3000000,55101305,Drama
980078,Winnie the Pooh: Blood and Honey,1h 24min,100000,5200000,"Horror, Thriller"
453395,Doctor Strange in the Multiverse of Madness,2h 6min,200000000,952224986,"Fantasy, Action, Adventure"
668482,Roald Dahl's Matilda the Musical,1h 57min,25000000,13276499,"Family, Comedy, Fantasy"
12445,Harry Potter and the Deathly Hallows: Part 2,2h 10min,125000000,1341511219,"Fantasy, Adventure"
673,Harry Potter and the Prisoner of Azkaban,2h 21min,130000000,789804554,"Adventure, Fantasy"
675,Harry Potter and the Order of the Phoenix,2h 18min,150000000,938212738,"Adventure, Fantasy, Mystery"
438695,Sing 2,1h 50min,85000000,406000000,"Animation, Family"
12444,Harry Potter and the Deathly Hallows: Part 1,2h 26min,250000000,954305868,"Adventure, Fantasy"
436969,The Suicide Squad,2h 12min,185000000,168717425,"Action, Comedy, Adventure"
10144,The Little Mermaid,1h 23min,40000000,211343479,"Animation, Family, Fantasy"
157336,Interstellar,2h 49min,165000000,701729206,"Adventure, Drama, Science Fiction"
